"subjectID","conditionProtoStr","colorScaleStr","darkSideStr","darkLegendOrientStr","targetOrientStr","rt.0","rt.1","rt.2","rt.3","rt.4","rt.5","rt.6","rt.7","rt.8","rt.9","rt.10","rt.11","rt.12","rt.13","rt.14","rt.15","rt.16","rt.17","rt.18","rt.19"
12969,"longer","Blue","dark-left","dark-high","target-high",978.2,1687.015,1045.745,1000.11,2569.44,1668.99,1873.045,879.215,1981.915,3278.95,2900.22,1457.385,1114.825,345.675,1076.435,850.66,1077.715,1675.44,1209.545,872.91
12969,"longer","Blue","dark-left","dark-high","target-low",1073.705,1660.705,1349.225,2687.02,1616.725,1458.74,1035.945,1512.755,1486.365,2100.305,2121.445,1429.66,5187.14,1428.385,1432.235,1885.775,2283.295,1432.37,1352.41,2212.965
12969,"longer","Blue","dark-left","dark-low","target-high",1264.875,1037.18,1816.525,1236.61,2302.06,1415.17,1377.49,1031.885,2167.35,1777.755,1330.26,1560.095,2126.73,1176.975,573.43,1730.185,1365.065,588.145,2540.19,1036.885
12969,"longer","Blue","dark-left","dark-low","target-low",1813.525,2528.68,1271.095,1072.74,1234.385,1430.19,1093.88,1093.49,1272.975,2991.835,1151.29,1231.855,2060.855,1089.54,1222.64,1575.715,1937.255,1070.145,1434.145,1549.865
12969,"longer","Blue","dark-right","dark-high","target-high",811.59,1885.945,1228.495,1432.7,2418.325,1020.325,1279.385,1276.35,1469.69,1670.745,1182.715,895.86,2070.765,919.91,1401.835,2642.55,1462.01,1119.31,1056.235,1065.7
12969,"longer","Blue","dark-right","dark-high","target-low",5041.055,2005.435,1519.52,3409.235,2438.66,1756.325,1193.905,2612.625,1579.385,933.34,1095.195,1787.055,2030.97,771.545,1407.455,1018.63,1264.795,1858.515,3505.525,1274.235
12969,"longer","Blue","dark-right","dark-low","target-high",930.825,1037.02,1407.455,1989.145,1489.34,2125.975,1051.735,924.905,2049.775,1494.095,1751.3,1475.345,1701.44,911.16,1159.545,3528.92,1027.42,1416.245,1339.08,1045.06
12969,"longer","Blue","dark-right","dark-low","target-low",1336.96,1288.12,1354.13,1190.72,5671.905,1192.06,1328.975,1156.535,1314.64,1305.395,2047.405,904.985,1327.935,2444.93,1698.7,1446.83,1404.84,1525.105,1529.24,1217.075
12969,"longer","Hot","dark-left","dark-high","target-high",1220.835,2406.56,1456.855,1267.235,1072.33,1326.41,877.98,967.44,1346.37,1780.425,1143.395,1154.865,1393.005,1437.85,943.97,1009.285,1071.155,1335.08,4687.855,1290.76
12969,"longer","Hot","dark-left","dark-high","target-low",1358.75,2093.095,1669.05,1476.725,1498.905,1389.165,605.725,1455.665,1452.12,1129.32,1112.925,1165.71,2743.83,2681.775,2141.8,1299.865,1090.735,1075.48,1391.755,1406.875
12969,"longer","Hot","dark-left","dark-low","target-high",2413.51,1543.8,1558.135,1668.26,1520.46,1542.76,930.785,1765.45,1012.07,2239.61,3195.64,3274.41,1405.01,997.8,2784.275,981.93,1039.515,1808.285,1616.7,5033.065
12969,"longer","Hot","dark-left","dark-low","target-low",1173.315,2232.755,1217.055,1594.35,1073.775,1264.485,1552.79,1329.035,2198.665,1111.685,1124.925,1253.93,1536.96,2236.025,1920.87,1254.51,956.005,1005.75,1159.76,2175.56
12969,"longer","Hot","dark-right","dark-high","target-high",1896.29,992.91,1563.51,1656.78,868.915,1480.855,1309,852.62,1296.3,1342.42,996.385,1372.63,1233.995,689.23,936.84,2710.905,1862.315,1462.405,950.59,1412.935
12969,"longer","Hot","dark-right","dark-high","target-low",995.88,1883.72,954.655,1013.665,2021.77,1621.27,3505.175,1405.85,1902.84,1544.815,2188.835,1416.425,1438.46,1557.885,1120.745,1119.215,1207.055,1422.9,1237.44,1157.88
12969,"longer","Hot","dark-right","dark-low","target-high",3548.91,1133.545,1051.36,1895.215,1540.41,2372.86,1727.81,2166.95,1858.87,897.69,1481.285,1156.775,1238.26,1024.05,1764.425,1431.855,2664.985,416.905,1013.915,3045.395
12969,"longer","Hot","dark-right","dark-low","target-low",1077.675,889.595,1026.78,1236.145,1165.815,1013.045,1046.27,1654.255,1035.465,2388.395,1677.185,1329.89,1254.025,930.48,2063.845,1488.69,1614.785,1520.725,1885.985,1489.575
