"subjectID","conditionProtoStr","colorScaleStr","darkSideStr","darkLegendOrientStr","targetOrientStr","rt.0","rt.1","rt.2","rt.3","rt.4","rt.5","rt.6","rt.7","rt.8","rt.9","rt.10","rt.11","rt.12","rt.13","rt.14","rt.15","rt.16","rt.17","rt.18","rt.19"
10422,"slower","Blue","dark-left","dark-high","target-high",1088,2127,1592,2158,1094,1350,1610,1599,1273,1261,1684,2756,2110,1906,1504,1743,1360,1619,2877,1683
10422,"slower","Blue","dark-left","dark-high","target-low",1883,1372,2448,1099,2393,2825,1167,2023,1956,1946,1796,1452,1169,1161,4231,1578,2579,1706,4498,1180
10422,"slower","Blue","dark-left","dark-low","target-high",2000,3929,1791,1442,1985,1316,1147,3302,1382,3154,3154,1530,1079,3887,1057,1479,1187,1278,1995,1251
10422,"slower","Blue","dark-left","dark-low","target-low",1059,1244,1115,2834,1415,3478,1050,995,1145,2834,2604,1030,1516,5392,1581,2594,2226,2577,1811,1429
10422,"slower","Blue","dark-right","dark-high","target-high",1800,2864,1679,2108,1573,1077,1827,1166,1691,1950,1561,1302,1705,1200,1037,1260,1464,2187,1865,1375
10422,"slower","Blue","dark-right","dark-high","target-low",1214,1142,1228,1546,1500,921,1040,1225,1924,1081,990,1541,1501,1083,1651,1704,1819,1100,1094,1458
10422,"slower","Blue","dark-right","dark-low","target-high",1699,1853,2395,1997,2794,1701,1976,3915,1462,1541,1742,1730,2309,1223,2090,1350,2424,2695,1760,4954
10422,"slower","Blue","dark-right","dark-low","target-low",1008,1077,4819,1480,2816,1469,1847,1071,3084,1092,1314,1244,1818,1493,1102,1297,1042,943,1214,1261
10422,"slower","Hot","dark-left","dark-high","target-high",2112,2437,1538,1223,1698,1197,2922,1724,1333,1849,1425,1027,1791,1291,1620,1159,1097,3531,1507,1882
10422,"slower","Hot","dark-left","dark-high","target-low",1574,2260,1201,2697,1213,1207,1389,1177,1772,1270,1139,3297,2784,1830,1346,970,984,1205,1147,1715
10422,"slower","Hot","dark-left","dark-low","target-high",1243,1197,1304,1582,1132,1300,2142,1595,3065,5116,2888,2618,1834,1205,1440,2292,1952,1257,1512,1110
10422,"slower","Hot","dark-left","dark-low","target-low",1127,2507,1397,1156,2226,1056,1445,1684,1007,1339,1226,1313,1417,1682,2283,1585,1487,1863,1708,1321
10422,"slower","Hot","dark-right","dark-high","target-high",1764,1112,1086,1575,1484,1101,1158,1024,1431,3740,1325,2230,1684,2229,1162,1403,3246,3140,3255,1709
10422,"slower","Hot","dark-right","dark-high","target-low",1207,1008,1569,1386,1814,2203,1468,2552,1932,1065,1124,1663,1015,1010,1111,1108,1318,1044,1384,2248
10422,"slower","Hot","dark-right","dark-low","target-high",1381,1175,1115,1600,1140,1741,1950,1056,1191,2647,2523,1281,2986,1372,1294,1089,1432,1555,3392,1093
10422,"slower","Hot","dark-right","dark-low","target-low",1229,1857,2210,1008,1658,1326,1198,1453,1011,2036,3143,1373,1658,1132,1576,1826,894,1730,1575,1268
