"subjectID","conditionProtoStr","colorScaleStr","darkSideStr","darkLegendOrientStr","targetOrientStr","rt.0","rt.1","rt.2","rt.3","rt.4","rt.5","rt.6","rt.7","rt.8","rt.9","rt.10","rt.11","rt.12","rt.13","rt.14","rt.15","rt.16","rt.17","rt.18","rt.19"
16622,"shorter","Blue","dark-left","dark-high","target-high",1276.655,860.03,1114.72,1398.915,1019.585,1097.265,929.525,867.475,1157.805,952.76,832.73,852.14,1095.53,950.43,875.19,814.975,907.715,892.54,924.845,1055.325
16622,"shorter","Blue","dark-left","dark-high","target-low",824.115,887.315,683.38,773.77,1150.995,974.015,735.045,1058.805,790.595,863.305,966.45,929.57,733.395,948.765,777.26,1382.495,1600.67,698.455,761.475,929.57
16622,"shorter","Blue","dark-left","dark-low","target-high",963.14,758.715,1031.205,1015.885,928.59,1344.805,1249.375,740.77,1023.41,1180.675,1063.1,1143.155,841.83,1032.49,1183.91,981.035,1276.145,957.565,933.415,912.91
16622,"shorter","Blue","dark-left","dark-low","target-low",1008.945,889.265,838.93,860.14,1200.47,1606.005,1025.65,777.845,676.8,911.325,967.51,1369.85,839.775,818.365,802.635,773.33,1304.2,1146.51,1275.875,779.185
16622,"shorter","Blue","dark-right","dark-high","target-high",911.41,1071.755,926.94,893.345,1705.125,1161.7,1207.26,1125.85,809.105,1214.12,1042.63,904.45,854.695,1039.63,866.085,1034.52,1042.155,971.38,806.36,1034.645
16622,"shorter","Blue","dark-right","dark-high","target-low",1101.205,911.135,1014.87,1097.98,803.795,688.89,779.9,1885.825,860.055,872.325,824.12,912.705,794.815,676.385,872.84,866.38,1021.03,906.095,761.46,1058.3
16622,"shorter","Blue","dark-right","dark-low","target-high",1573.805,1091.42,994.405,1090.54,988.39,831.48,1018.935,1194.645,1249.83,1148.63,911.59,1100.335,1322.515,1066.675,982.225,1289.75,982.935,844.48,837.205,1172.18
16622,"shorter","Blue","dark-right","dark-low","target-low",954.245,1197.475,1167.745,886.96,1045.355,1011.49,820.145,1129.505,1600.595,1010.09,1134.47,1106.27,874.2,1032.985,866.505,1003.645,738.91,1253.585,810.405,788.42
16622,"shorter","Hot","dark-left","dark-high","target-high",758.16,1332.875,1021.065,839.85,1084.64,915.755,930.53,1025.495,889.51,817.13,1056.745,1064.93,1095.985,1009.265,829.83,1182.5,1175.225,980.315,1042.84,942.625
16622,"shorter","Hot","dark-left","dark-high","target-low",763.085,1019.64,895.065,796.435,1017.215,735.485,891.025,752.62,823.71,820.78,782.36,877.25,1025.48,822.695,936.295,1008.69,945.41,954.915,1196.215,836.38
16622,"shorter","Hot","dark-left","dark-low","target-high",933.365,948.425,813.065,862.835,1048.065,1089.875,1080.6,1100.67,1009.905,909.54,941.69,1119.56,936.34,1198.765,1205.855,1073.26,1006.325,1045.77,971.705,1067.255
16622,"shorter","Hot","dark-left","dark-low","target-low",738.77,892.46,1171.795,1234.165,1074.795,715.075,848.605,876.26,950.585,898.08,927.865,728.51,896.02,878.22,789.61,871.8,1338.66,1026.815,906.21,831.305
16622,"shorter","Hot","dark-right","dark-high","target-high",936.23,1334.535,1105.505,1110.39,1200.13,1325.255,959.47,1067.46,915.255,1726.68,1067.78,844.44,1026.09,767.125,1165.035,1081.41,952.81,917.79,892.355,953.06
16622,"shorter","Hot","dark-right","dark-high","target-low",811.59,756,668.38,1140.65,729.105,1290.49,1031.085,837.545,858.76,923.57,811.565,861.14,844.165,827.24,1195.49,695.855,796.785,845.91,878.825,988.34
16622,"shorter","Hot","dark-right","dark-low","target-high",929.6,1003.265,1022.685,1234.59,1394.905,866.53,989.62,896.01,982,1119.725,1389.755,923.065,1011.14,926.735,1013.58,912.71,1004.745,909.195,1031.97,1571.525
16622,"shorter","Hot","dark-right","dark-low","target-low",1212.9,820.645,938.335,956.31,803.58,1154.09,1201.49,766.26,759.73,876.55,809.545,814.225,795.095,1076.85,1023.635,701.105,862.785,665.11,714.28,941.94
