"subjectID","conditionProtoStr","colorScaleStr","darkSideStr","darkLegendOrientStr","targetOrientStr","rt.0","rt.1","rt.2","rt.3","rt.4","rt.5","rt.6","rt.7","rt.8","rt.9","rt.10","rt.11","rt.12","rt.13","rt.14","rt.15","rt.16","rt.17","rt.18","rt.19"
11245,"faster","Blue","dark-left","dark-high","target-high",1046,2771,1049,2866,1156,929,1655,2601,1160,1913,3550,2137,1229,5973,2907,1208,1169,1058,941,1556
11245,"faster","Blue","dark-left","dark-high","target-low",1134,2445,3358,2003,1255,1102,1138,2539,1592,1556,1878,2623,1051,1327,1452,1567,1049,1317,1517,2182
11245,"faster","Blue","dark-left","dark-low","target-high",1011,1169,978,2097,1196,1135,1825,1681,1264,3583,2333,1275,2775,1987,1137,1344,1218,1799,2048,2010
11245,"faster","Blue","dark-left","dark-low","target-low",1696,4046,2234,1166,1369,2415,1245,1001,1933,1049,2463,1653,2172,962,1627,1585,1155,1105,1720,1603
11245,"faster","Blue","dark-right","dark-high","target-high",1383,1135,2228,1634,1172,1661,1791,1343,1336,1516,1317,1091,1409,1782,1905,1605,3533,2762,1835,3826
11245,"faster","Blue","dark-right","dark-high","target-low",1363,1594,1385,1925,1098,2368,1086,1280,2365,1132,1125,1296,2448,1001,972,1088,2220,1684,2781,1556
11245,"faster","Blue","dark-right","dark-low","target-high",1934,1673,1718,2017,1094,2146,1315,1727,1519,1164,1198,2404,1362,2660,2044,3873,4197,1916,2942,1908
11245,"faster","Blue","dark-right","dark-low","target-low",1026,1242,2213,1104,2003,2588,1490,2375,2035,1919,929,3619,1324,1773,3220,2004,1033,1486,2940,1583
11245,"faster","Hot","dark-left","dark-high","target-high",2049,1888,1599,2341,1656,1366,1602,1717,3266,1287,1447,2502,1374,1984,1887,1171,1730,2010,1024,2570
11245,"faster","Hot","dark-left","dark-high","target-low",996,1057,2249,1351,1354,1077,933,991,1066,1127,1626,2225,1726,2745,1606,2440,1107,1091,2025,1804
11245,"faster","Hot","dark-left","dark-low","target-high",1287,970,1545,1116,1228,2404,1236,1032,1597,1397,1090,1105,1152,1403,996,115,1040,1365,1525,1062
11245,"faster","Hot","dark-left","dark-low","target-low",820,1438,1148,1913,2756,2158,1723,1877,2156,1900,2112,1512,1030,1693,1159,3790,1743,1291,2364,1077
11245,"faster","Hot","dark-right","dark-high","target-high",2433,2394,1821,2926,1867,1229,1615,1036,1776,1053,2042,1564,999,1236,1366,1694,1314,1094,1187,2044
11245,"faster","Hot","dark-right","dark-high","target-low",1663,2032,2083,1255,1337,2326,1559,1097,1310,1459,986,1195,1145,1123,1210,1212,848,3151,927,1097
11245,"faster","Hot","dark-right","dark-low","target-high",1244,970,1327,1861,1018,2299,1032,1147,2537,1672,1837,1188,1636,1126,2857,1507,1700,1113,2352,1015
11245,"faster","Hot","dark-right","dark-low","target-low",1163,1673,2707,1911,1219,2484,1662,1088,1439,1605,1113,1125,2890,1173,1394,1277,1978,1230,1355,1883
