"subjectID","conditionProtoStr","colorScaleStr","darkSideStr","darkLegendOrientStr","targetOrientStr","rt.0","rt.1","rt.2","rt.3","rt.4","rt.5","rt.6","rt.7","rt.8","rt.9","rt.10","rt.11","rt.12","rt.13","rt.14","rt.15","rt.16","rt.17","rt.18","rt.19"
13141,"longer","Blue","dark-left","dark-high","target-high",1087,1301,911,1022,922,1315,1277,940,1119,1058,2841,1558,903,1011,961,1271,1164,1047,945,870
13141,"longer","Blue","dark-left","dark-high","target-low",953,1185,1894,1252,1156,1151,948,1412,2011,1234,1165,1349,1302,928,1181,1111,1117,1027,1028,1626
13141,"longer","Blue","dark-left","dark-low","target-high",1102,1180,908,1237,1311,1488,2308,1717,2488,921,1354,1028,1104,936,1013,2668,1075,978,1376,1180
13141,"longer","Blue","dark-left","dark-low","target-low",1038,1070,899,1158,1339,1408,1000,985,927,1114,950,997,926,1142,1007,925,1172,911,1021,1281
13141,"longer","Blue","dark-right","dark-high","target-high",1135,1138,1048,1337,1221,817,962,1674,879,853,1075,1063,997,1204,857,958,971,1071,985,1713
13141,"longer","Blue","dark-right","dark-high","target-low",1244,1058,1127,931,1835,1265,1173,1554,2405,2449,1125,1155,1396,1685,872,1206,1234,1206,1217,1189
13141,"longer","Blue","dark-right","dark-low","target-high",2105,1323,1137,2029,1548,1717,1200,991,1123,1271,814,1206,942,2560,1175,3065,2544,1166,1089,1398
13141,"longer","Blue","dark-right","dark-low","target-low",1134,1261,1270,1141,1243,941,1142,1067,890,1238,1087,1018,1351,953,1007,1049,1013,896,1115,1061
13141,"longer","Hot","dark-left","dark-high","target-high",1226,1037,1304,947,1326,2113,952,1384,933,1273,1138,1120,1516,831,2051,1051,1675,1490,922,970
13141,"longer","Hot","dark-left","dark-high","target-low",1248,1100,1373,1065,1269,1092,1467,1098,1370,1107,1779,954,1811,1318,1663,2326,1000,1238,1309,1782
13141,"longer","Hot","dark-left","dark-low","target-high",1580,985,1109,1050,1045,1114,1071,1017,1282,1363,1006,1622,1423,1287,903,1146,779,898,878,1727
13141,"longer","Hot","dark-left","dark-low","target-low",1475,1513,1343,1377,1090,1254,987,888,1902,1409,955,878,1418,1050,1134,972,1005,990,1532,1123
13141,"longer","Hot","dark-right","dark-high","target-high",1581,1108,983,792,1046,3443,1603,942,918,2088,1205,1136,884,1007,1094,1034,1062,1526,1838,1052
13141,"longer","Hot","dark-right","dark-high","target-low",1130,974,1115,1249,1521,1680,1803,1115,1034,1270,1258,1042,1203,1146,893,2051,1130,1225,1177,1000
13141,"longer","Hot","dark-right","dark-low","target-high",1131,968,2116,1029,861,1706,1855,1783,1100,911,2072,1102,1207,1120,957,1299,1758,1192,2142,1548
13141,"longer","Hot","dark-right","dark-low","target-low",981,915,2678,1276,2124,1111,1055,1157,1056,1478,1139,1251,1196,975,942,1058,1015,1083,1116,913
