"subjectID","conditionProtoStr","colorScaleStr","darkSideStr","darkLegendOrientStr","targetOrientStr","rt.0","rt.1","rt.2","rt.3","rt.4","rt.5","rt.6","rt.7","rt.8","rt.9","rt.10","rt.11","rt.12","rt.13","rt.14","rt.15","rt.16","rt.17","rt.18","rt.19"
15677,"faster","Blue","dark-left","dark-high","target-high",1077.445,1328.94,1297.175,904.735,1877.275,2227.435,1669.7,1995.835,2435.76,1632.86,1387.92,1571.27,1969.945,2094.32,1789.855,1774.415,1536.72,1252.445,1476.45,2261.145
15677,"faster","Blue","dark-left","dark-high","target-low",1186.76,9729.415,1018.635,7014.47,1171.8,2781.635,1322.815,1056.575,1693.33,1783.875,775.94,919.285,998.995,1486.21,995.09,1358.93,1113.085,964.73,1309.355,2459.38
15677,"faster","Blue","dark-left","dark-low","target-high",1313.465,897.4,1741.64,1553.42,1850.18,1497.165,1601.975,6628.34,1966.09,2070.64,2750.565,1466.345,5283.78,1845.93,2415.295,1163.33,2721.51,5555,1725.045,3590.455
15677,"faster","Blue","dark-left","dark-low","target-low",1282.98,12335.43,1023.705,1832.32,1073.305,1682.56,3366.265,2270.595,1266.74,1037.885,1338.035,1199,1004.725,1309.425,1045.325,1118.91,1060.07,1299,6135.815,2051.925
15677,"faster","Blue","dark-right","dark-high","target-high",991.435,806.2,1024.45,5414.225,1511.54,965.88,936.835,2342.685,8436.455,2494.655,2000.195,1077.625,1211.815,2656.69,3769.405,897.05,14080.04,884.85,870.375,1973.485
15677,"faster","Blue","dark-right","dark-high","target-low",1054.09,991.26,2531.85,1113.39,3813.685,1345.965,1299.995,1017.34,1707.185,3107.105,7017.465,1135.475,1014.77,2220.47,4686.135,1534.51,1135.32,2077.72,1319.825,1360.91
15677,"faster","Blue","dark-right","dark-low","target-high",4399.705,1399.86,1896.49,2869.8,2438.775,1200.155,961.145,2230.215,1407.635,1382.045,3130.6,979.725,878.41,1917.965,2098.84,1453.22,1398.165,848.41,18143.945,2805.98
15677,"faster","Blue","dark-right","dark-low","target-low",974.08,1059.755,1249.95,1282.74,952.455,1208.455,1101.025,1315.735,1076.28,2595.54,1099.96,1372.355,876.945,1010.295,2208.03,2236.59,18414.665,978.48,2837.815,1817.055
15677,"faster","Hot","dark-left","dark-high","target-high",2032.78,662.425,3339.715,1264.405,1069.95,2316.715,807.64,1855.28,1207.02,2120.33,1205.865,1029.46,1616.955,1101.945,2723.46,1044.695,1536.93,1329.22,826.87,3404.025
15677,"faster","Hot","dark-left","dark-high","target-low",1563.26,2484.135,911.43,1217.645,1044.3,1133.92,1577.12,1000.905,1887.565,795.665,938.665,2046.77,1872.45,1150.325,1066.71,1480.855,1168.81,8555.755,1360.1,862.145
15677,"faster","Hot","dark-left","dark-low","target-high",3375.685,1160.23,1940.335,725.545,1485.88,1017.37,1225.955,1453.495,1236.26,5767.565,1104.035,9914.725,1344.565,1204.18,1417.575,2488.455,1357.485,2135.1,1111.86,5506.78
15677,"faster","Hot","dark-left","dark-low","target-low",1287.545,1414.2,1335.69,1916.67,1207.52,1167.235,2483.335,1157.435,1044.975,1838.055,6039.39,1431.525,1021.045,1014.475,1989.85,1175.765,4990.27,8593.835,1264.465,1093.155
15677,"faster","Hot","dark-right","dark-high","target-high",2459.78,994.99,2188.31,1059.94,858.63,3405.935,946.73,1196.79,2716.585,2628.625,902.56,12044.605,1099.08,10303.205,808.76,1968.135,1630.17,1429.77,3482.59,1387.38
15677,"faster","Hot","dark-right","dark-high","target-low",1970.535,1395.37,2703.52,998.43,1542.76,1269.82,2324.39,927.095,986.32,3280.225,2546.84,2847.265,1272.49,1064.985,1841.56,1154.965,1324.255,2340.6,1022.295,1680.45
15677,"faster","Hot","dark-right","dark-low","target-high",1426.245,2179,2008.365,772.385,997.135,1653.41,1511.875,1403.23,918.67,1061.44,767.755,1433.04,1149.975,2582.97,2383.455,935.77,1117.145,830.555,2499.56,1431.795
15677,"faster","Hot","dark-right","dark-low","target-low",2012.44,1749.93,11115.86,1471.83,2158.08,1019.035,1951.5,1197.03,1561.57,1384.91,1129.24,1272.365,948.08,6188.865,1961.345,1244.09,918.485,1020.03,1647.52,1480.945
