"subjectID","conditionProtoStr","colorScaleStr","darkSideStr","darkLegendOrientStr","targetOrientStr","rt.0","rt.1","rt.2","rt.3","rt.4","rt.5","rt.6","rt.7","rt.8","rt.9","rt.10","rt.11","rt.12","rt.13","rt.14","rt.15","rt.16","rt.17","rt.18","rt.19"
15130,"index","Blue","dark-left","dark-high","target-high",1392,1324,1768,1168,1086,1411,1634,1079,1273,1341,1503,1297,971,1008,1549,1111,1360,845,1989,998
15130,"index","Blue","dark-left","dark-high","target-low",903,1421,1322,1345,1675,1379,1926,1199,1652,1545,1187,1502,2126,1338,1494,2444,1425,1587,1382,1253
15130,"index","Blue","dark-left","dark-low","target-high",803,1378,1439,1262,869,1353,1181,972,1704,1739,1012,1579,1904,1181,1635,991,1993,1421,983,1052
15130,"index","Blue","dark-left","dark-low","target-low",836,1773,1558,1152,995,1373,2010,1124,959,1297,1212,1060,1071,1416,1583,2095,1396,1521,1239,1067
15130,"index","Blue","dark-right","dark-high","target-high",1486,1571,999,735,867,1541,992,1197,1154,1272,1236,1248,1053,1497,1122,1167,1572,1757,883,1661
15130,"index","Blue","dark-right","dark-high","target-low",923,1746,864,1535,1025,1855,1686,1322,1699,1570,1053,1624,789,1726,1171,1104,1404,971,2057,1107
15130,"index","Blue","dark-right","dark-low","target-high",802,1478,1539,2487,2172,928,1334,2339,1438,1173,1011,1832,1063,1592,1111,1256,1347,1356,1482,2946
15130,"index","Blue","dark-right","dark-low","target-low",1224,1282,1059,1470,1236,1127,1612,3571,1120,1723,1694,1264,1197,2353,1345,2430,1819,1397,1340,1259
15130,"index","Hot","dark-left","dark-high","target-high",1254,1307,1426,1399,993,1471,2777,1133,1450,1150,1667,1051,1327,1442,1135,1437,1291,1640,870,1398
15130,"index","Hot","dark-left","dark-high","target-low",1289,1403,2692,1558,1471,1195,1672,1418,1143,1126,1599,1268,1209,1329,1429,1811,1406,1161,1514,1012
15130,"index","Hot","dark-left","dark-low","target-high",989,1469,1864,1434,971,1097,1160,1199,1255,1789,2687,898,2764,1007,2222,1065,1192,1250,2031,1166
15130,"index","Hot","dark-left","dark-low","target-low",1607,1481,1320,1152,1035,1004,1427,1191,4145,1026,1519,1486,1295,1291,1097,1288,1275,1619,2338,2314
15130,"index","Hot","dark-right","dark-high","target-high",1333,1346,1107,1047,1262,1740,889,1128,1040,957,1061,1355,1823,922,918,1853,1273,860,735,1160
15130,"index","Hot","dark-right","dark-high","target-low",1430,1481,1502,1230,1555,1290,1188,851,1121,1145,1528,1439,859,1480,1573,1599,1269,899,1183,1148
15130,"index","Hot","dark-right","dark-low","target-high",1025,1147,1494,2189,1340,798,1396,1440,1001,1226,1253,1315,1555,2029,1455,1243,843,1152,1086,1574
15130,"index","Hot","dark-right","dark-low","target-low",1292,1217,1295,2111,930,1382,1720,1392,1411,4130,1054,1042,933,1355,1518,1932,1137,1319,1419,1596
