Condition,Blue_tHi_Dm,Blue_tHi_Lm,Blue_tLo_Dm,Blue_tLo_Lm,Hot_tHi_Dm,Hot_tHi_Lm,Hot_tLo_Dm,Hot_tLo_Lm,Blue_Dm,Blue_Lm,Hot_Dm,Hot_LM,Dm,Lm
0,1798.5,1685.9,1550.5,1591,1602.5,1594.2,1490.7,1549.8,1674.5,1638.45,1546.6,1572,1610.55,1605.225
0,977.1,979.09,958.94,965.06,958.74,965.22,977.57,910.53,968.02,972.075,968.155,937.875,968.0875,954.975
0,1347.2,1279.7,1289,1236.1,1324.2,1301.4,1214.9,1310.6,1318.1,1257.9,1269.55,1306,1293.825,1281.95
0,1065,999.76,1021.1,1011.1,1074.7,1037.6,1122.5,1057.6,1043.05,1005.43,1098.6,1047.6,1070.825,1026.515
0,2234.3,2087.4,1971.8,1953.9,2354.2,2255.5,2071.3,2270.6,2103.05,2020.65,2212.75,2263.05,2157.9,2141.85
0,1085.3,1065.6,917.36,928.91,1043.1,1024.5,902.46,944.23,1001.33,997.255,972.78,984.365,987.055,990.81
0,1195.9,1162.2,1144.4,1067.5,1211.6,1148.2,1177.3,1052.7,1170.15,1114.85,1194.45,1100.45,1182.3,1107.65
0,1557.5,1525.9,1420.7,1341.4,1539.1,1421.6,1368.4,1313,1489.1,1433.65,1453.75,1367.3,1471.425,1400.475
0,1257.1,1308.8,1338.4,1351.1,1331.7,1225.8,1202.2,1389.4,1297.75,1329.95,1266.95,1307.6,1282.35,1318.775
0,1593,1635.9,1386.4,1356.2,1610.2,1568.8,1418.9,1389.3,1489.7,1496.05,1514.55,1479.05,1502.125,1487.55
0,2191.9,2305.7,2096.9,1943.3,2440.8,1776.1,2175,1890.3,2144.4,2124.5,2307.9,1833.2,2226.15,1978.85
0,1365.1,1423.1,1306.9,1271.3,1345.4,1459.9,1288.2,1213.4,1336,1347.2,1316.8,1336.65,1326.4,1341.925
0,1224.2,1175.4,1080.5,1121.3,1255.9,1062.6,1106,898.56,1152.35,1148.35,1180.95,980.58,1166.65,1064.465
0,1377.4,1326.5,1310.1,1264.6,1304.8,1334.3,1279.2,1293.6,1343.75,1295.55,1292,1313.95,1317.875,1304.75
0,1118.6,1179.2,1034.4,1200.2,1274.8,1119.2,1150.1,1121.5,1076.5,1189.7,1212.45,1120.35,1144.475,1155.025
0,1017.3,1049.7,1024.5,1141.1,1036.6,1081.8,987.97,977.36,1020.9,1095.4,1012.285,1029.58,1016.5925,1062.49
0,1826.9,1683.9,1740.2,1548.1,1830.7,1732.9,1721.9,1619.9,1783.55,1616,1776.3,1676.4,1779.925,1646.2
0,939.34,934.75,919.56,924.74,913.91,954.8,954.36,972.03,929.45,929.745,934.135,963.415,931.7925,946.58
0,1246.6,1396.3,1174.6,1180.8,1390.9,1328.9,1300.5,1253.5,1210.6,1288.55,1345.7,1291.2,1278.15,1289.875
0,1387.7,1452.3,1258.5,1101.2,1355.2,1311.6,1107.1,1141.2,1323.1,1276.75,1231.15,1226.4,1277.125,1251.575
0,1550.1,1350.7,1600,1393.8,1595.4,1552.4,1504.3,1488,1575.05,1372.25,1549.85,1520.2,1562.45,1446.225
0,1140,1166.1,1050,1042.7,1103,1136.1,978.9,1032.1,1095,1104.4,1040.95,1084.1,1067.975,1094.25
0,1400.7,1365.6,1273,1331.9,1360.7,1261.3,1191.8,1358.1,1336.85,1348.75,1276.25,1309.7,1306.55,1329.225
0,975.72,1008.6,986.28,976.97,933.53,1030.3,917.5,937.46,981,992.785,925.515,983.88,953.2575,988.3325
0,1731.2,1599.6,1557.2,1391,1555.3,1512.1,1558.8,1443.3,1644.2,1495.3,1557.05,1477.7,1600.625,1486.5
0,1110.9,1200.7,1168.3,1234.1,1176.3,1231,1214.1,1216,1139.6,1217.4,1195.2,1223.5,1167.4,1220.45
0,1319.9,1203.2,1186.5,1174.6,1256,1313,1177.7,1071.5,1253.2,1188.9,1216.85,1192.25,1235.025,1190.575
0,1689,1741.1,1481.9,1564.3,1659.3,1781.6,1444.8,1661,1585.45,1652.7,1552.05,1721.3,1568.75,1687
0,1272.7,1242.4,1210.6,1211.5,1356.4,1277.3,1281.8,1196.8,1241.65,1226.95,1319.1,1237.05,1280.375,1232
0,1306.3,1232.2,1194.8,1155.4,1269.2,1224.7,1113.7,1144.4,1250.55,1193.8,1191.45,1184.55,1221,1189.175
1,1232.2,1398.7,1226.6,1320.8,1254.9,1281.6,1242.9,1318.1,1229.4,1359.75,1248.9,1299.85,1239.15,1329.8
1,1529.4,1546.7,1273.2,1267.8,1435.3,1687.9,1344.6,1552.1,1401.3,1407.25,1389.95,1620,1395.625,1513.625
1,2633.6,3058,2465.8,2836.6,2704.2,2704.9,2247.5,2651.6,2549.7,2947.3,2475.85,2678.25,2512.775,2812.775
1,2516.8,2627,2314.5,2592.6,2300.2,2327.1,1854.2,2046.6,2415.65,2609.8,2077.2,2186.85,2246.425,2398.325
1,1545.6,1453.3,1544.1,1467.8,1650.2,1394.5,1460.1,1418.8,1544.85,1460.55,1555.15,1406.65,1550,1433.6
1,1605.1,1633.6,1297.9,1505.3,1604.9,1521,1442.9,1481.3,1451.5,1569.45,1523.9,1501.15,1487.7,1535.3
