"subjectID","conditionProtoStr","colorScaleStr","darkSideStr","darkLegendOrientStr","targetOrientStr","rt.0","rt.1","rt.2","rt.3","rt.4","rt.5","rt.6","rt.7","rt.8","rt.9","rt.10","rt.11","rt.12","rt.13","rt.14","rt.15","rt.16","rt.17","rt.18","rt.19"
18821,"faster","Blue","dark-left","dark-high","target-high",1245.59,1003.565,1051.305,1227.355,1553.32,902.54,1037.685,2288.51,1576.97,1433.485,1501.615,871.395,930.125,946.56,1395.42,2293.575,1730.07,1523.295,1209.405,1541.86
18821,"faster","Blue","dark-left","dark-high","target-low",988.145,1024.545,782.275,1334.13,1814.775,1246.745,2240.96,1155.025,1454.205,1430.84,1939.115,1956.72,1385.08,2472.39,1068.49,1044.37,1588.265,2024.01,1933.125,1158.81
18821,"faster","Blue","dark-left","dark-low","target-high",986.82,953.595,1640.645,2368.72,788.84,1308.165,1357.93,1568.98,1058.265,1144.705,846.2,1217.045,1079.34,1760.165,1381.685,1721.705,1596.82,1088.815,1370.425,959.715
18821,"faster","Blue","dark-left","dark-low","target-low",2088.235,1808.12,1890.015,2013.86,1458.43,1210.435,1869.77,1046.465,1466.31,2373.31,1604.51,1354.475,1240.53,2812.39,1687.02,934.98,3438.255,1778.885,1214.075,1136.6
18821,"faster","Blue","dark-right","dark-high","target-high",1652.69,1090.32,1140.06,1361.845,1018.51,1027.555,1257.295,843.835,1514.905,1010.425,1246.74,1455.155,1563.075,2894.32,1456.52,1230.835,2518.62,1569.52,1067.12,1079.61
18821,"faster","Blue","dark-right","dark-high","target-low",1373.055,1035.37,1029.565,1074.29,1539.64,969.095,1342.935,2239.65,2000.11,1268.395,1257.455,1091.27,1066.605,1980.29,1615.7,1054.84,1382.04,1264.935,1044.07,1630.495
18821,"faster","Blue","dark-right","dark-low","target-high",1252.45,1279.065,617.745,1157.34,1150.69,950.59,1838.76,1294.865,819.035,992.13,1539.7,1845.76,1187.8,1240.19,2123.385,1059.58,1433.75,1755.955,1431.775,1111.345
18821,"faster","Blue","dark-right","dark-low","target-low",2215.255,1943.225,1463.19,1782.665,1603.41,1586.81,1578.94,2319.215,1622.96,1322.115,1628.17,2472.63,1074.53,1603.935,1492.445,1360.16,1751.94,1042.575,2139.845,1609.195
18821,"faster","Hot","dark-left","dark-high","target-high",1442.11,1254.05,1560.785,1221.06,1037.385,1171.415,1485.27,1094.43,1334.075,1589.37,1816.04,1141.04,1868.32,1849.785,965.34,1346.22,1589.49,949.85,1827.37,1389.84
18821,"faster","Hot","dark-left","dark-high","target-low",2089.965,1384.6,1197.095,866.445,3330.385,977.055,1134.41,1559.325,1778.455,1721.78,1612.64,1456.275,1180.695,1685.96,1660.465,1920.25,1846.825,1464.415,1275.06,930.74
18821,"faster","Hot","dark-left","dark-low","target-high",1046.905,1516.64,904.425,1238.34,1119.77,1280.14,1740.39,849.075,1136.6,1106.53,1515.275,1050.62,1556.26,1813.86,989.17,2032.5,902.96,1432.005,1694.785,1073.65
18821,"faster","Hot","dark-left","dark-low","target-low",1294.95,2009.415,1862.275,1704.23,2183.045,1062.555,1520.53,1621.505,1111.355,1578.685,2776.36,2430.245,1971.805,1724.06,1877.76,2042.815,1474.315,938.505,1336.88,2126.22
18821,"faster","Hot","dark-right","dark-high","target-high",1331.99,1160.62,1169.875,1002.505,1751.18,1009.12,921.175,977.615,1105.015,1299.8,1294.495,1798.57,1415.71,1334.1,832.615,1196.47,1531.84,1072.15,1487.12,996.685
18821,"faster","Hot","dark-right","dark-high","target-low",1115.185,1775.065,1607.815,1027.475,1785.03,1393.29,2282.705,858.735,969.65,1846.85,701.5,886.81,825.525,1398.595,2081.925,1011.535,1992.245,1079.495,945.095,1597.685
18821,"faster","Hot","dark-right","dark-low","target-high",1413.245,1637.875,904.195,1306.44,2034.585,1068.76,1056.18,1562.885,889.57,1141.935,1158.975,954.85,1022.315,943.12,1226.805,1081.545,953.125,1075.06,1302.835,1307.81
18821,"faster","Hot","dark-right","dark-low","target-low",1236.43,1673.54,2100.585,1268.465,1233.54,2173.19,1801.735,1583.68,2394.01,1472.025,1466.935,1679.71,969.54,1385.895,1563.86,1665.75,1656.35,1586.58,1409.55,1510.12
