"subjectID","conditionProtoStr","colorScaleStr","darkSideStr","darkLegendOrientStr","targetOrientStr","rt.0","rt.1","rt.2","rt.3","rt.4","rt.5","rt.6","rt.7","rt.8","rt.9","rt.10","rt.11","rt.12","rt.13","rt.14","rt.15","rt.16","rt.17","rt.18","rt.19"
12675,"longer","Blue","dark-left","dark-high","target-high",938,833,860,806,1548,811,1644,907,528,976,1081,887,1060,843,935,677,1084,764,862,1087
12675,"longer","Blue","dark-left","dark-high","target-low",742,691,823,828,1140,897,930,999,1472,927,803,778,1111,1194,1084,1034,1664,1039,768,814
12675,"longer","Blue","dark-left","dark-low","target-high",820,908,639,1007,1139,1117,1223,951,1052,933,1249,880,793,1055,1066,1108,1202,998,1096,1034
12675,"longer","Blue","dark-left","dark-low","target-low",1242,838,1086,1093,764,1033,735,723,892,1088,623,1236,801,605,814,984,847,1121,694,716
12675,"longer","Blue","dark-right","dark-high","target-high",685,1017,965,786,806,826,1063,1040,1094,782,717,850,768,842,1007,800,1210,725,990,956
12675,"longer","Blue","dark-right","dark-high","target-low",830,1070,912,786,1089,760,1050,1305,1163,1134,782,1158,1025,874,1681,892,1061,1128,795,851
12675,"longer","Blue","dark-right","dark-low","target-high",1069,793,771,881,1396,1058,755,933,556,1081,786,1120,943,622,983,952,700,677,732,1065
12675,"longer","Blue","dark-right","dark-low","target-low",602,711,746,707,823,984,778,1043,861,847,1122,916,891,779,973,833,827,667,774,828
12675,"longer","Hot","dark-left","dark-high","target-high",772,635,895,1187,1059,2388,841,1149,795,755,712,799,1036,835,792,933,886,807,1131,1118
12675,"longer","Hot","dark-left","dark-high","target-low",1313,826,1034,812,930,857,818,1382,705,985,1402,1796,897,633,1407,997,1029,779,1152,1156
12675,"longer","Hot","dark-left","dark-low","target-high",1392,1341,780,775,795,906,979,739,1231,1178,1089,745,898,1392,1639,771,1168,862,825,782
12675,"longer","Hot","dark-left","dark-low","target-low",768,764,988,777,1049,955,735,781,1427,798,876,952,693,1008,1116,775,1403,684,958,895
12675,"longer","Hot","dark-right","dark-high","target-high",665,949,1234,1107,725,801,777,937,809,1748,1573,721,739,752,767,830,785,844,743,804
12675,"longer","Hot","dark-right","dark-high","target-low",943,787,862,795,740,825,837,951,760,1116,1235,1044,1645,489,1463,1104,1147,1368,1422,1191
12675,"longer","Hot","dark-right","dark-low","target-high",1178,1012,1024,784,1180,1166,1027,857,784,1002,964,1106,1300,937,816,1190,1023,817,644,978
12675,"longer","Hot","dark-right","dark-low","target-low",958,714,740,758,773,858,817,671,820,901,996,823,737,1239,641,736,751,923,733,833
