"subjectID","conditionProtoStr","colorScaleStr","darkSideStr","darkLegendOrientStr","targetOrientStr","rt.0","rt.1","rt.2","rt.3","rt.4","rt.5","rt.6","rt.7","rt.8","rt.9","rt.10","rt.11","rt.12","rt.13","rt.14","rt.15","rt.16","rt.17","rt.18","rt.19"
16121,"longer","Blue","dark-left","dark-high","target-high",875.625,1248.99,2639.525,3799.4,867.225,1233.135,813.46,934.72,1086.18,1530.68,1679.81,923.42,804.675,956.2,1460.825,1442.285,917.975,1415.205,1019.365,1370.185
16121,"longer","Blue","dark-left","dark-high","target-low",1076.2,2311.6,1235.215,1318.91,1382.7,1215.06,1838.62,1036.89,926.025,1274.785,1009.11,1388.995,1337.955,2270.5,1883.18,1538.57,1384.775,3316.43,1742.96,1138.265
16121,"longer","Blue","dark-left","dark-low","target-high",657.975,1227.445,826.08,1471.535,1553.325,773.11,1117.205,764.38,1463.275,1249.105,879.9,981.345,1058.865,1064.075,1871.41,1332.095,824.05,1388.35,986.015,2393.865
16121,"longer","Blue","dark-left","dark-low","target-low",1336.12,1462.94,760.09,1893.305,1286.8,1432.52,1326.835,1307.715,789.57,1366.7,1251.89,986.145,1809.87,1173.01,1049.23,717.985,1122.675,1174.835,886.97,2423.975
16121,"longer","Blue","dark-right","dark-high","target-high",901.68,808.73,1204.48,1309.205,883.53,833.275,1060.815,1259.15,812,650.44,796.71,1158.965,830.55,702.59,893.625,2321.685,952.685,805.475,736.645,1187.805
16121,"longer","Blue","dark-right","dark-high","target-low",1611.725,1107.965,1819.97,1449.445,1339.765,798.32,869.075,924.385,1291.93,1369,1232.155,1374.01,2841.975,1995.52,3116.93,1107.475,1702.52,1230.585,1217.185,985.885
16121,"longer","Blue","dark-right","dark-low","target-high",3690.165,1175.115,737.91,1332.54,2143.235,1616.59,836.505,732.18,1177.98,4087.765,808.925,1126.325,764.065,1419.835,2039.59,947.46,2092.425,1240.305,1202.01,1389.385
16121,"longer","Blue","dark-right","dark-low","target-low",1603.045,2669.19,1135.465,1430.48,918.255,951.03,1635.715,2276.545,1675.655,2504.04,1073.16,1509.445,984.295,1546.05,1359.46,1099.59,813.91,1241.19,955.945,2100.65
16121,"longer","Hot","dark-left","dark-high","target-high",1420.86,1020.335,1537.95,939.96,817.02,778.05,797.315,932.01,725.72,1035.63,1197.13,949.405,768.975,904.375,818.875,1320.63,3010.635,918.805,990.35,1269.65
16121,"longer","Hot","dark-left","dark-high","target-low",1136.465,1236.74,1340.585,1415.315,1711.515,1648.58,1202.055,1072.28,1849.03,1143.32,1459.66,1025.06,1352.43,1514.99,1416.08,1974.39,776.275,1691.045,1317.505,1146.655
16121,"longer","Hot","dark-left","dark-low","target-high",773.75,756.255,1349.215,690.605,1421.665,581.72,831.575,864.365,983.345,1056.975,1761.65,658.405,3454.2,899.435,1039.28,986.515,1804.915,1068.485,753.885,1366.3
16121,"longer","Hot","dark-left","dark-low","target-low",1171.585,1328.79,813.98,1077.93,1059.795,1221.725,1006.605,1140.94,781.195,921.795,1259.695,919.48,1434.695,1869.845,1314.44,966.86,1177.355,1032.38,5567.655,1805.75
16121,"longer","Hot","dark-right","dark-high","target-high",853,839.525,1867.96,935.875,946.265,848.1,986.075,885.88,872.225,941.28,704.955,887.38,739.08,1238.045,1654.78,1662.13,1894.935,774.405,672.295,940.76
16121,"longer","Hot","dark-right","dark-high","target-low",3610.73,879.19,909.2,1185.14,1112.9,954.66,941.785,1077.02,1592.58,1263.83,2245.43,1200.345,1366.27,1319.27,1890.03,4159.975,910.265,1038.58,1508.565,869.28
16121,"longer","Hot","dark-right","dark-low","target-high",941.68,2087.21,887.44,1575.47,1408.86,1088.545,1126.355,1169.375,2014.395,2035.61,867.21,1097.81,1356.405,1230.995,683.025,1887.795,900.52,866.875,816.865,913.795
16121,"longer","Hot","dark-right","dark-low","target-low",1816.29,1158.75,1143.815,1774.47,1418.995,1115.62,1266.805,1129.67,976.82,1336.405,1461.22,1032.715,1075.27,814.82,993.68,844.625,912.245,1116.865,1182.525,1047.325
