"subjectID","conditionProtoStr","colorScaleStr","darkSideStr","darkLegendOrientStr","targetOrientStr","rt.0","rt.1","rt.2","rt.3","rt.4","rt.5","rt.6","rt.7","rt.8","rt.9","rt.10","rt.11","rt.12","rt.13","rt.14","rt.15","rt.16","rt.17","rt.18","rt.19"
18635,"faster","Blue","dark-left","dark-high","target-high",1016.675,963.625,1773.24,807.16,764.365,920.815,766.86,1037.245,1269.74,782.635,1154.995,774.41,604.33,872.19,1001.38,1250.965,1022.42,714.475,826.165,792.8
18635,"faster","Blue","dark-left","dark-high","target-low",887.405,846.47,1459.55,1032.07,764.4,1333.3,1081.25,1110.88,901.805,1324.505,1029.665,712.045,713.115,815.1,955.66,1866.56,904.46,1586.505,1118.845,805.115
18635,"faster","Blue","dark-left","dark-low","target-high",686.595,1111.975,1059.215,917.44,883.26,1437.665,1210.705,834.465,629.44,722.825,772.835,743.36,1085.7,1122.9,999.85,808.94,755.085,813.33,920.43,765.225
18635,"faster","Blue","dark-left","dark-low","target-low",864,1004.64,754,932.775,855.77,973.065,1917.72,1004.67,1087.115,1554.115,1062.32,1003.48,1316.995,1035.455,1030.44,1323.805,1333.66,1098.47,922.215,1443.085
18635,"faster","Blue","dark-right","dark-high","target-high",824.36,1284.06,891.21,672.3,813.29,843.125,714.12,803.36,2922.215,778.04,694.16,1115.605,1291.695,832.22,757.955,1680.445,1422.285,1440.715,760.915,1003.775
18635,"faster","Blue","dark-right","dark-high","target-low",866.43,1383.53,1408.65,1229.69,799.815,1078.66,923.32,889.11,941.385,936.435,1132.45,729.005,874.05,947.64,944.76,932.2,799.62,806.5,716.405,706.11
18635,"faster","Blue","dark-right","dark-low","target-high",2567.835,719.135,1088.1,1143.26,909.555,684.4,759.66,2101.64,3144.135,655.465,809.285,968.195,630.13,3268.355,1070.6,985.175,1047.32,1186.375,853.455,1252.45
18635,"faster","Blue","dark-right","dark-low","target-low",911.94,1021.99,916.505,1052.05,787.165,806.97,804.48,959.32,935.75,937.44,840.065,910.54,1326.19,1814.52,1430.165,1363.715,806.17,762.1,963.035,1004.21
18635,"faster","Hot","dark-left","dark-high","target-high",1004.58,870.235,859.655,1301.845,677.57,1457.45,828.375,714.365,980.135,744.22,774.78,929.895,659.52,939.105,1295.96,799.11,1254.94,1113.67,803.87,1125.495
18635,"faster","Hot","dark-left","dark-high","target-low",755.395,1239.125,1778.375,1049.51,1295.445,866.57,829.52,898.105,879.195,848.69,2792.805,844.385,851.755,1426.075,1301.585,1145.03,1347.43,861.445,988.945,1384.24
18635,"faster","Hot","dark-left","dark-low","target-high",913.72,1037.735,757.85,2157.925,1006.205,1188.36,1036.255,1083.1,783.155,1295.455,751.26,777.955,1221.405,883.57,1227.045,1376.83,822.635,904.95,679.5,640.28
18635,"faster","Hot","dark-left","dark-low","target-low",1173.55,1000.97,1469.19,1034.945,1101.35,2252.87,960.63,871.22,992.995,758.49,931.67,1073.235,1122.17,978.435,1038.895,968.3,1369.59,776.48,1548.825,956.68
18635,"faster","Hot","dark-right","dark-high","target-high",754.205,1069.52,686.21,661.735,718.465,785.67,650.78,1146.545,1178.64,1361.265,987.295,730.845,1061.41,699.275,694.325,698.88,646.545,856.33,966.86,734.715
18635,"faster","Hot","dark-right","dark-high","target-low",1494.58,788.44,885.9,927.675,863.435,804.895,2151.535,952.845,818.23,1367.21,888.12,901.93,1215.02,926.875,1592.215,1144.505,953.665,1178.895,1004.79,882.6
18635,"faster","Hot","dark-right","dark-low","target-high",605.715,1677.405,726.54,1293.78,643.14,817.9,674.41,1089.515,1113.46,952.995,967.03,776.485,1985.005,791.785,772.62,912.755,1020.795,763.56,1563.185,1024.135
18635,"faster","Hot","dark-right","dark-low","target-low",747.405,784.745,818.12,2076.96,1311.45,1641.695,805.3,880.14,999.185,963.34,1283.495,1050.595,1041.755,1172.225,1344.695,1420.69,992.385,1592.16,1282.565,965.925
