"subjectID","conditionProtoStr","colorScaleStr","darkSideStr","darkLegendOrientStr","targetOrientStr","rt.0","rt.1","rt.2","rt.3","rt.4","rt.5","rt.6","rt.7","rt.8","rt.9","rt.10","rt.11","rt.12","rt.13","rt.14","rt.15","rt.16","rt.17","rt.18","rt.19"
10565,"rank","Blue","dark-left","dark-high","target-high",1585.725,1601.75,1437.57,969.13,928.38,1723.215,1035.035,814.715,1504.495,3883.325,1660.61,1254.745,964.94,1348.705,1156.91,1106.48,901.055,1589.43,819.385,1232.84
10565,"rank","Blue","dark-left","dark-high","target-low",986.755,1359.51,940.71,3043.455,1267.685,1472.975,1070.215,1441.985,5510.975,1529.26,1608.775,1262.225,1509.715,1173.75,1447.665,1668.64,1761.935,1210.58,2512.415,1703.135
10565,"rank","Blue","dark-left","dark-low","target-high",1339.74,1044.12,935.31,2005.455,2165.96,1304.85,1612.57,835.895,1763.865,1630.555,1054.1,828.985,1402.595,1616.57,1272.51,2277.21,1442.905,1291.105,2886.87,1492.2
10565,"rank","Blue","dark-left","dark-low","target-low",3680.895,7980.05,1314.545,1022.055,1486.965,1441.345,2183.755,1743.885,2052.265,1030.66,2589.905,1101.97,2458.82,969.01,933.975,1095.735,1854.375,1183.185,1337.51,1573.55
10565,"rank","Blue","dark-right","dark-high","target-high",2078.74,1068.4,950.545,1559.335,907.665,1778.87,1747.345,1210.745,952.565,1441.525,953.255,1596.97,1379.005,1373.1,1234.325,1265.375,1119.62,1753.275,993.52,2268.5
10565,"rank","Blue","dark-right","dark-high","target-low",1336.17,1558.58,2561.49,2402.34,1160.63,1229.165,1871.175,1728.205,1576.215,1399.19,1485.075,2358.03,2660.85,2795.315,3102.385,1188.5,1282.545,2510.995,1269.715,1331.36
10565,"rank","Blue","dark-right","dark-low","target-high",2995.705,2487.49,1374.675,1063.21,1747.795,1299.9,2410.065,1410.92,2066.305,1466.39,1936.7,1902.34,1220.24,2923.56,1489.65,1131.005,2580.56,949.81,1320.845,1032.925
10565,"rank","Blue","dark-right","dark-low","target-low",1132.135,1171.695,1812.15,1179.985,1709.755,1003.665,1920.555,919.045,1201.165,1752.995,1921.13,1681.925,1485.13,1720.08,1495.32,1165.555,1308.255,9676.685,1447.77,1077.725
10565,"rank","Hot","dark-left","dark-high","target-high",1004.79,1219.275,1197.945,1266.295,1435.755,1561.715,1540.22,1555.95,784.825,1262.78,1190.535,1153.205,879.525,810.485,1552.485,5776.55,1032.485,2325.475,1396.305,1353.785
10565,"rank","Hot","dark-left","dark-high","target-low",1052.035,1638.815,1460.57,1314.14,1303.45,1514.685,975.525,2009.765,1192.54,1520.425,4415.66,1132.79,1419.045,1240.895,2047.86,1605.325,1129.81,1791.45,1394.655,3088.535
10565,"rank","Hot","dark-left","dark-low","target-high",1213.35,1395.115,1176.46,1336.085,1576.725,1146.075,836.01,1628.475,1794.125,1378.52,1330.375,1420.085,855.375,1412.51,994.395,1060.015,1505.725,1266.48,3813.655,2789.2
10565,"rank","Hot","dark-left","dark-low","target-low",1353.865,1104.875,2398.49,1995.5,3625.695,1243.95,1211.28,1388.095,943.43,1485.465,1169.635,1545,1261.09,2030.405,1687.775,1545.805,1315.955,1350.625,1228.45,1198.23
10565,"rank","Hot","dark-right","dark-high","target-high",1117.65,1083.6,823.065,1525.485,1884.57,965.965,1144.835,1140.97,1132.345,1195.56,1041.145,1080.05,1634.405,1225.08,1868.86,1758.975,1057.645,1791.14,2043.07,843.28
10565,"rank","Hot","dark-right","dark-high","target-low",1217.325,1655.3,1781.145,1943.155,1584.36,1161.72,1069.855,1192.42,1461.385,1184.62,1582.56,1686.97,1723.455,1776.795,1021.82,1544.93,1482.46,1665.035,1697.705,1391.365
10565,"rank","Hot","dark-right","dark-low","target-high",38316.23,2192.425,1893.58,1044.555,2241.68,1873.985,1133.275,1227.535,1139.49,2263.86,1020.41,1156.34,2721.22,1468.745,1597.985,2182.48,1894.9,2019.745,1832.705,1252.135
10565,"rank","Hot","dark-right","dark-low","target-low",3945.415,1257.13,1149.785,1473.815,2383.3,1747.435,1952.505,1697.485,3235.425,1374.54,1180.88,1464.155,2972.2,2214.115,1498.38,1491.65,1428.355,1333.635,1253.18,1312.06
