Condition,Dm,Lm
0,2032.2,1938.1
0,2162.35,1986.35
0,1184.75,1105.85
0,1122.7,969.945
0,1203.95,1240.4
0,1172.85,1101.65
0,1408.95,1356.15
0,1619.5,1712.75
0,1343.65,1342.5
0,846.37,837.71
0,3195.75,2892.2
0,1034.95,1045.45
0,1277.9,1214.55
0,1220.25,1083.4
0,1095.8,1154.65
0,1192.7,1236.5
0,1345.3,1317.75
0,1214.3,1206.5
0,1069,987.02
0,1431.1,1518.15
0,946.92,878.265
0,1093.3,1001.065
0,1222.15,1220.8
0,1889.6,1850.7
0,1360.75,1347.85
0,1509.15,1474.35
0,1165.5,1165.3
0,1645.55,1538.85
0,881.47,870.645
0,1084.05,1068.6
0,1396.85,1542.05
1,1651.1,1566
1,1197.4,1241.5
1,1209.4,1334.2
1,1179.5,1252.4
1,1142.3,1185.7
1,846.73,930.13
1,1491.95,1682
1,1163.45,1232.25
1,1361.9,1512.55
1,1225.15,1344.85
1,1168.05,1273.35
1,1343.45,1442.95
1,1603.05,1869.65
1,1116.75,1088.15
1,1076.75,1089.85
1,1364.2,1389.05
1,1098.75,1175.85
1,1262.2,1244.15
1,1960.7,2190.7
1,1105.3,1077.6
1,995.485,999.1
1,1447.95,1601.45
1,1059,1128.3
1,1295.05,1323
1,1472.1,1582.95
1,1307.35,1365.6
1,1158.65,1229.55
1,1026.7,1345
1,1603.65,1763.4
1,1544.75,1568.6
