Condition,Blue_Dm,Blue_Lm,Hot_Dm,Hot_LM
0,1934.5,1908.9,2129.9,1967.3
0,2293.6,2090,2031.1,1882.7
0,1276.9,1088.5,1092.6,1123.2
0,1120,942.22,1125.4,997.67
0,1165,1293.2,1242.9,1187.6
0,1148.3,1109,1197.4,1094.3
0,1401,1285.1,1416.9,1427.2
0,1659,1630.5,1580,1795
0,1298,1373.6,1389.3,1311.4
0,869.78,840.47,822.96,834.95
0,3413.1,2806.1,2978.4,2978.3
0,1008.1,1063.5,1061.8,1027.4
0,1268.8,1211.6,1287,1217.5
0,1239.2,1144.5,1201.3,1022.3
0,1070.8,1152.4,1120.8,1156.9
0,1223.7,1269.4,1161.7,1203.6
0,1435.4,1343.5,1255.2,1292
0,1231.5,1214.2,1197.1,1198.8
0,1074.3,996.17,1063.7,977.87
0,1415,1554.3,1447.2,1482
0,921.46,875.68,972.38,880.85
0,1047.8,990.23,1138.8,1011.9
0,1219.4,1234,1224.9,1207.6
0,1953.9,1844.1,1825.3,1857.3
0,1388.6,1351.6,1332.9,1344.1
0,1479.2,1499.5,1539.1,1449.2
0,1165.1,1195.8,1165.9,1134.8
0,1633.9,1609.6,1657.2,1468.1
0,852.14,859.1,910.8,882.19
0,1121.3,1082.7,1046.8,1054.5
0,1410.2,1422.9,1383.5,1661.2
1,1629.4,1568.4,1672.8,1563.6
1,1172.8,1230.3,1222,1252.7
1,1201.5,1293.5,1217.3,1374.9
1,1189.4,1233.1,1169.6,1271.7
1,1104.6,1234.1,1180,1137.3
1,865.11,945.84,828.35,914.42
1,1426.7,1713.1,1557.2,1650.9
1,1188.7,1257.4,1138.2,1207.1
1,1360.3,1522.8,1363.5,1502.3
1,1251.6,1352.6,1198.7,1337.1
1,1168.5,1251.6,1167.6,1295.1
1,1291.6,1416.6,1395.3,1469.3
1,1530.7,1843.5,1675.4,1895.8
1,1073.9,1125.1,1159.6,1051.2
1,1113.4,1111,1040.1,1068.7
1,1345.2,1390.6,1383.2,1387.5
1,1117.6,1157.3,1079.9,1194.4
1,1283.3,1198.1,1241.1,1290.2
1,2020.2,2261.6,1901.2,2119.8
1,1118.2,1065.7,1092.4,1089.5
1,999.98,979.2,990.99,1019
1,1440.6,1544.4,1455.3,1658.5
1,1057.3,1114.1,1060.7,1142.5
1,1259.5,1297.5,1330.6,1348.5
1,1520.7,1571,1423.5,1594.9
1,1274.9,1358.6,1339.8,1372.6
1,1180.7,1226,1136.6,1233.1
1,1047,1336.8,1006.4,1353.2
1,1623.4,1828.1,1583.9,1698.7
1,1496.8,1588.5,1592.7,1548.7
