Condition,Blue_tHi_Dm,Blue_tHi_Lm,Blue_tLo_Dm,Blue_tLo_Lm,Hot_tHi_Dm,Hot_tHi_Lm,Hot_tLo_Dm,Hot_tLo_Lm,Blue_Dm,Blue_Lm,Hot_Dm,Hot_LM,Dm,Lm
0,906.96,877.56,907.44,986.11,859.5,935.57,878.82,967.83,907.2,931.835,869.16,951.7,888.18,941.7675
0,966.4,962.95,1018.9,1127.5,905.74,953.49,994.47,1094.6,992.65,1045.225,950.105,1024.045,971.3775,1034.635
0,1706.4,1626,1605.6,1682.4,1432,1653.2,1471,1632,1656,1654.2,1451.5,1642.6,1553.75,1648.4
0,931.38,1055.6,1126.2,1189.3,1029.8,994.55,1089.8,1181.9,1028.79,1122.45,1059.8,1088.225,1044.295,1105.3375
0,1115,1173.6,1261,1302.4,1130.9,1204.5,1298.2,1223.6,1188,1238,1214.55,1214.05,1201.275,1226.025
0,1053.5,985.75,1142.8,1102.9,1013.5,988.09,1182.2,1114.4,1098.15,1044.325,1097.85,1051.245,1098,1047.785
0,1500.2,1717.3,1461.8,1612.5,1601.9,1606.2,1530.5,1561.2,1481,1664.9,1566.2,1583.7,1523.6,1624.3
0,2491.1,2028.3,2506.2,2047.1,1985,2028.5,2144.7,2215.2,2498.65,2037.7,2064.85,2121.85,2281.75,2079.775
0,1120.3,1156.7,1092.8,1252.7,1073.7,1126.7,1230.9,1143.8,1106.55,1204.7,1152.3,1135.25,1129.425,1169.975
0,830,976.22,868.33,1011.4,808.12,955.04,899.15,1005.5,849.165,993.81,853.635,980.27,851.4,987.04
0,1135.5,1069.1,1098.3,1161.6,1037.9,1161,1099.7,1111.2,1116.9,1115.35,1068.8,1136.1,1092.85,1125.725
0,1400.2,1330.2,1208.3,1321.3,1346.8,1512,1450.7,1309,1304.25,1325.75,1398.75,1410.5,1351.5,1368.125
0,1432.2,1669.1,1589.4,1614,1445.2,1411,1475.9,1469.4,1510.8,1641.55,1460.55,1440.2,1485.675,1540.875
0,873.76,873.5,839.76,863.02,864.95,857.15,828.12,863.47,856.76,868.26,846.535,860.31,851.6475,864.285
0,1030.7,1291.3,1162.9,1317.1,1058,1134.3,1169.3,1142.4,1096.8,1304.2,1113.65,1138.35,1105.225,1221.275
0,1187.7,1448.6,1228.7,1432,1360.2,1460.1,1300.9,1400.4,1208.2,1440.3,1330.55,1430.25,1269.375,1435.275
0,1193.5,1214.6,1337.7,1295.3,1271.8,1197.7,1277,1356.8,1265.6,1254.95,1274.4,1277.25,1270,1266.1
0,1099.8,1264.9,1243,1346,1385.1,1415.6,1246.2,1405.3,1171.4,1305.45,1315.65,1410.45,1243.525,1357.95
0,1685.3,1625.5,1729.6,1727.9,1705.5,1558.5,1556.8,1694.5,1707.45,1676.7,1631.15,1626.5,1669.3,1651.6
0,1054.7,1120,1105.1,1242.7,1054.1,1147.2,1110,1190.2,1079.9,1181.35,1082.05,1168.7,1080.975,1175.025
0,1438.4,1661.3,1619.7,1761.8,1355.8,1490.3,1533.6,1560.1,1529.05,1711.55,1444.7,1525.2,1486.875,1618.375
0,1018.9,913.92,1141.5,1029.1,1045.4,993.51,1077.1,1100.1,1080.2,971.51,1061.25,1046.805,1070.725,1009.1575
0,1214.6,1201.3,1141.4,1198,1171.4,1192.1,1182.9,1193.3,1178,1199.65,1177.15,1192.7,1177.575,1196.175
0,1083.5,994.54,1162.8,1244.7,1098.2,1085,1149.9,1250,1123.15,1119.62,1124.05,1167.5,1123.6,1143.56
0,1116.8,1197.6,1126.3,1218.3,1127.7,1084.5,1125.4,1178.9,1121.55,1207.95,1126.55,1131.7,1124.05,1169.825
